"path","symbol","method","operation","table","fingerprint","owner","exit_slice","strategy","status"
"services/anomaly_alert_detection.py","_scan_presence_check","execute","DYNAMIC","unknown","0b7234b6ce67b2c7","anomalies","slice-4","replace-with-anomaly-projection-ports","410"
"services/architecture_outbox_worker.py","_project_scheduling_page","commit","COMMIT","-","300e7a9f4c16abfb","anomalies","slice-4","replace-with-anomaly-projection-ports","410"
"services/finance_alert_detection.py","create_or_get_finance_alert","execute","INSERT","finance_alert_events","325756c3c492f44d","anomalies","slice-4","replace-with-anomaly-projection-ports","410"
"services/finance_alert_detection.py","create_or_get_finance_alert","execute","INSERT","finance_alerts","52a43e50ec89c579","anomalies","slice-4","replace-with-anomaly-projection-ports","410"
"services/finance_alert_events.py","append_finance_alert_event","execute","INSERT","finance_alert_events","21fcd942a7524b32","anomalies","slice-4","replace-with-anomaly-projection-ports","需移除"
"services/finance_alert_workflow.py","claim_finance_alert","execute","UPDATE","finance_alerts","fb2a599763d1714a","anomalies","slice-4","replace-with-anomaly-projection-ports","需移除"
"services/finance_alert_workflow.py","resolve_finance_alert","execute","UPDATE","finance_alerts","ea9e439a4342970e","anomalies","slice-4","replace-with-anomaly-projection-ports","需移除"
"services/staff_payables_anomaly_source.py","consume_staff_payables_anomaly_sources","commit","COMMIT","-","300e7a9f4c16abfb","anomalies","slice-4","replace-with-anomaly-projection-ports","需移除"
"services/system_alert_service.py","claim_system_alert","execute","UPDATE","system_alerts","90ee08751419ff0f","anomalies","slice-4","replace-with-anomaly-projection-ports","需移除"
"services/system_alert_service.py","delete_system_alert","execute","DELETE","system_alerts","fb112a207e6a268b","anomalies","slice-4","replace-with-anomaly-projection-ports","需移除"
"services/system_alert_service.py","resolve_absent_alerts","execute","UPDATE","system_alerts","dc324b0a7cdcb2ce","anomalies","slice-4","replace-with-anomaly-projection-ports","需移除"
"services/system_alert_service.py","resolve_absent_current_state_alerts","execute","UPDATE","system_alerts","af357f553c7086a5","anomalies","slice-4","replace-with-anomaly-projection-ports","需移除"
"services/system_alert_service.py","resolve_current_state_alert","execute","UPDATE","system_alerts","73b288c70ec8ff8c","anomalies","slice-4","replace-with-anomaly-projection-ports","需移除"
"services/system_alert_service.py","resolve_if_exists","execute","UPDATE","system_alerts","6daa67067eb0f255","anomalies","slice-4","replace-with-anomaly-projection-ports","需移除"
"services/system_alert_service.py","resolve_system_alert","execute","UPDATE","system_alerts","a2c7c33bd5d2e292","anomalies","slice-4","replace-with-anomaly-projection-ports","需移除"
"services/system_alert_service.py","upsert_system_alert","execute","INSERT","system_alerts","41526155b882d28c","anomalies","slice-4","replace-with-anomaly-projection-ports","需移除"
"services/system_alert_service.py","upsert_system_alert","execute","UPDATE","system_alerts","84799126a3bd7ad7","anomalies","slice-4","replace-with-anomaly-projection-ports","需移除"
"services/system_alert_service.py","upsert_system_alert","execute","UPDATE","system_alerts","b62426fc74a832e8","anomalies","slice-4","replace-with-anomaly-projection-ports","需移除"
"api/routes/finance_alerts.py","_run_action","commit","COMMIT","-","300e7a9f4c16abfb","api_adapter","slice-5","replace-with-typed-application-command","需移除"
"api/routes/system_alerts.py","_run_action","commit","COMMIT","-","300e7a9f4c16abfb","api_adapter","slice-5","replace-with-typed-application-command","需移除"
"api/routes/system_alerts.py","scan_alerts","commit","COMMIT","-","300e7a9f4c16abfb","api_adapter","slice-5","replace-with-typed-application-command","需移除"
"services/client_payment_snapshots.py","create_client_payment_snapshot","execute","INSERT","client_payments","9a36fb90f0864676","client_finance","slice-3","replace-with-client-finance-ledger-ports","需移除"
"services/client_payment_writer.py","_clear_subsidy_return_review","execute","UPDATE","client_payments","963539fe8caf9e43","client_finance","slice-3","replace-with-client-finance-ledger-ports","需移除"
"services/client_payment_writer.py","_persist_subsidy_return_review","execute","UPDATE","client_payments","985a2f299d80e684","client_finance","slice-3","replace-with-client-finance-ledger-ports","需移除"
"services/client_payment_writer.py","record_client_payment_transaction_with_cursor","execute","UPDATE","client_payments","0316e3c0a41e3469","client_finance","slice-3","replace-with-client-finance-ledger-ports","需移除"
"services/client_payment_writer.py","record_client_payment_transaction_with_cursor","execute","INSERT","client_payment_transactions","f13f806e2ae0c3a9","client_finance","slice-3","replace-with-client-finance-ledger-ports","需移除"
"services/client_receipt_reconciliation.py","reconcile_client_receipt","execute","UPDATE","finance_import_rows","90b4ed26ba558651","client_finance","slice-3","replace-with-client-finance-ledger-ports","需移除"
"services/client_subsidy_return_obligations.py","activate_subsidy_return_obligation","execute","UPDATE","client_payments","0cb875ed0d423627","client_finance","slice-3","replace-with-client-finance-ledger-ports","需移除"
"services/client_subsidy_return_transactions.py","record_client_subsidy_return","execute","UPDATE","client_payments","0513b5a3e0ea4cae","client_finance","slice-3","replace-with-client-finance-ledger-ports","需移除"
"services/client_subsidy_return_transactions.py","record_client_subsidy_return","execute","INSERT","client_payment_transactions","224af74a2b8b0737","client_finance","slice-3","replace-with-client-finance-ledger-ports","需移除"
